tokenId,name,image_url,json_url,size,relatedProject,creator,maxClaimed,price,EXP,RevealDate
100001,Dotty,https://www.arweave.net/R3YfnKXdGsx8ndtpGEHYVEi-p1qU8uPqeDdtarCuGvo?ext=png,https://www.arweave.net/UvNSlWNUGMOY20nU-05DDq1ejX42N2ZtijGEkLyOtDw,"[1,1,1]",,eBoy,9999999999,0,0,2022/11/11
100102,Twitter Tree,https://www.arweave.net/79hqTP5iKTq-RMit9-2_OXkXEjvIwWO7lYdxw0QnAwk?ext=png,https://www.arweave.net/wjEG2jc3rTROmzJV8fQ0c08Vr7AJi0ZfPBvHVTuco3M,"[1,1,2]",,ta2nb,9999999999,0,0,2022/11/11
100103,Discord Monument,https://www.arweave.net/XXHZnogz0-IoHN5U0BLY02Psk5bb3nsYXH4ooxdgdFA?ext=png,https://www.arweave.net/3EKLs6ZZaflmcYbXOy3sHFIVjM4_LISF6vpDMn89FUM,"[1,1,1]",,ta2nb,9999999999,0,0,2022/11/11
100104,Hardhat Octocat,https://www.arweave.net/fEnMw9dwsOwSqxzM4_8bC79Cs73e64o7G5XkvHqspk0?ext=png,https://www.arweave.net/3WYIYMBASwANMegOINLM426_TH1k25RaBlXp6lJHx0k,"[1,1,1]",,ta2nb,9999999999,0,0,2022/11/11
100105,Twitter Block,https://www.arweave.net/Lld6tcrWVbAvY9NxBKP_jwV-iMJQPO_2_-lPni0P-sU?ext=png,https://www.arweave.net/gDAvA1WESr9qBwVR1FEFuGZvB8LGU3JVWOoJihteJio,"[1,1,1]",,eBoy,9999999999,0,0,2022/11/11
100106,Discord Block,https://www.arweave.net/gYfI2sUJNNRgdS7sjoJ2lxf4KfqehDmN9aj0dgoyhIQ?ext=png,https://www.arweave.net/dH6yg-Q98w1sj_tgRdleC13GLnUmW7mazYBHm21eOcI,"[1,1,1]",,eBoy,9999999999,0,0,2022/11/11
100107,OpenSea Block,https://www.arweave.net/xBvtfkNebaxGJGZt6Jchp1ON0LVxfC6KwQJg0wcKphI?ext=png,https://www.arweave.net/p7Q24MZcEPF_lgymvWzbp2QK-0C4rq8A_MlS6SntoK8,"[1,1,1]",,eBoy,9999999999,0,0,2022/11/11
100108,Github Block,https://www.arweave.net/BCLjAcj4MUerCywI9HhGHZDSsn3lp5HaFnwVmc3BHRc?ext=png,https://www.arweave.net/FCZIQNUT6I-Kj0IDGdpExZTjoPnz1B2_0_58NIeBww0,"[1,1,1]",,eBoy,9999999999,0,0,2022/11/11
100109,Rarible Block,https://www.arweave.net/x3Ms7O9kLo_pWfZxZUyGYAKmVxhr-bUukLIQQKVpsDA?ext=png,https://www.arweave.net/OY9FOunIzCfY_qLzZsyIPLj6q8-DBmpAOPjDu8sfr28,"[1,1,1]",,eBoy,9999999999,0,0,2022/11/11
100110,Foundation Block,https://www.arweave.net/Rs3jMupjjxXJaxC-nwhr8f9IVBfi4RyyWO0rejxiJ60?ext=png,https://www.arweave.net/famvqukKSlFhdbbKwAeGoeCH45qjHYJ3kGYpRSEIXzI,"[1,1,1]",,eBoy,9999999999,0,0,2022/11/11
